cfg;#tasks;%shared;#uncertainty;makespan;time (secs)
AIJFbTPlannerA;10;100;10;-1;-1
AIJFbTPlannerA;10;100;20;-1;-1
AIJFbTPlannerA;10;100;30;-1;-1
AIJFbTPlannerA;15;100;10;-1;-1
AIJFbTPlannerA;15;100;20;-1;-1
AIJFbTPlannerA;15;100;30;-1;-1
AIJFbTPlannerA;20;100;10;-1;-1
AIJFbTPlannerA;20;100;20;-1;-1
AIJFbTPlannerA;20;100;30;-1;-1
AIJFbTPlannerA;25;100;10;-1;-1
AIJFbTPlannerA;25;100;20;-1;-1
AIJFbTPlannerA;25;100;30;-1;-1
AIJFbTPlannerA;30;100;10;-1;-1
AIJFbTPlannerA;30;100;20;-1;-1
AIJFbTPlannerA;30;100;30;-1;-1
AIJFbTPlannerB;10;100;10;-1;-1
AIJFbTPlannerB;10;100;20;-1;-1
AIJFbTPlannerB;10;100;30;-1;-1
AIJFbTPlannerB;15;100;10;-1;-1
AIJFbTPlannerB;15;100;20;-1;-1
AIJFbTPlannerB;15;100;30;-1;-1
AIJFbTPlannerB;20;100;10;-1;-1
AIJFbTPlannerB;20;100;20;-1;-1
AIJFbTPlannerB;20;100;30;-1;-1
AIJFbTPlannerB;25;100;10;-1;-1
AIJFbTPlannerB;25;100;20;-1;-1
AIJFbTPlannerB;25;100;30;-1;-1
AIJFbTPlannerB;30;100;10;-1;-1
AIJFbTPlannerB;30;100;20;-1;-1
AIJFbTPlannerB;30;100;30;-1;-1
AIJFbTPlannerC;10;100;10;-1;-1
AIJFbTPlannerC;10;100;20;-1;-1
AIJFbTPlannerC;10;100;30;-1;-1
AIJFbTPlannerC;15;100;10;-1;-1
AIJFbTPlannerC;15;100;20;-1;-1
AIJFbTPlannerC;15;100;30;-1;-1
AIJFbTPlannerC;20;100;10;-1;-1
AIJFbTPlannerC;20;100;20;-1;-1
AIJFbTPlannerC;20;100;30;-1;-1
AIJFbTPlannerC;25;100;10;-1;-1
AIJFbTPlannerC;25;100;20;-1;-1
AIJFbTPlannerC;25;100;30;-1;-1
AIJFbTPlannerC;30;100;10;-1;-1
AIJFbTPlannerC;30;100;20;-1;-1
AIJFbTPlannerC;30;100;30;-1;-1
AIJFbTPlannerD;10;100;10;-1;-1
AIJFbTPlannerD;10;100;20;-1;-1
AIJFbTPlannerD;10;100;30;-1;-1
AIJFbTPlannerD;15;100;10;-1;-1
AIJFbTPlannerD;15;100;20;-1;-1
AIJFbTPlannerD;15;100;30;-1;-1
AIJFbTPlannerD;20;100;10;-1;-1
AIJFbTPlannerD;20;100;20;-1;-1
AIJFbTPlannerD;20;100;30;-1;-1
AIJFbTPlannerD;25;100;10;-1;-1
AIJFbTPlannerD;25;100;20;-1;-1
AIJFbTPlannerD;25;100;30;-1;-1
AIJFbTPlannerD;30;100;10;-1;-1
AIJFbTPlannerD;30;100;20;-1;-1
AIJFbTPlannerD;30;100;30;-1;-1
