cfg;#tasks;%shared;#uncertainty;#hTasks;#rTasks;makespan;time (secs)
AIJFbTPlannerA;10;20;10;10.0;2.0;131.0;0.9926666666666666
AIJFbTPlannerA;10;20;20;10.0;2.0;131.0;0.737
AIJFbTPlannerA;10;20;30;10.0;2.0;131.0;0.5956666666666667
AIJFbTPlannerA;10;40;10;8.0;4.0;105.0;0.953
AIJFbTPlannerA;10;40;20;8.0;4.0;105.0;0.7956666666666666
AIJFbTPlannerA;10;40;30;8.0;4.0;105.0;0.7896666666666666
AIJFbTPlannerA;10;60;10;6.0;6.0;79.0;1.5546666666666666
AIJFbTPlannerA;10;60;20;6.0;6.0;79.0;1.943
AIJFbTPlannerA;10;60;30;6.0;6.0;79.0;1.668
AIJFbTPlannerA;10;80;10;6.0;6.0;82.66666666666667;2.4436666666666667
AIJFbTPlannerA;10;80;20;6.0;6.0;75.0;1.946
AIJFbTPlannerA;10;80;30;6.0;6.0;82.66666666666667;1.7086666666666668
AIJFbTPlannerA;10;100;10;6.0;6.0;75.0;1.779
AIJFbTPlannerA;10;100;20;6.0;6.0;82.66666666666667;1.85
AIJFbTPlannerA;10;100;30;6.0;6.0;82.66666666666667;1.6903333333333332
AIJFbTPlannerA;15;20;10;15.0;2.0;200.0;1.1893333333333334
AIJFbTPlannerA;15;20;20;15.0;2.0;200.0;1.203
AIJFbTPlannerA;15;20;30;15.0;2.0;200.0;1.4593333333333331
AIJFbTPlannerA;15;40;10;12.0;5.0;157.0;2.434
AIJFbTPlannerA;15;40;20;12.0;5.0;157.0;2.324
AIJFbTPlannerA;15;40;30;12.0;5.0;157.0;2.2476666666666665
AIJFbTPlannerA;15;60;10;9.0;8.0;122.0;6.445
AIJFbTPlannerA;15;60;20;9.0;8.0;122.0;5.518
AIJFbTPlannerA;15;60;30;9.0;8.0;122.0;5.291333333333333
AIJFbTPlannerA;15;80;10;8.0;9.0;121.0;7.435
AIJFbTPlannerA;15;80;20;8.0;9.0;121.0;7.072666666666667
AIJFbTPlannerA;15;80;30;8.0;9.0;121.0;13.055333333333333
AIJFbTPlannerA;15;100;10;8.0;9.0;121.0;7.528333333333333
AIJFbTPlannerA;15;100;20;8.0;9.0;121.0;7.205666666666667
AIJFbTPlannerA;15;100;30;8.0;9.0;121.0;7.248666666666667
AIJFbTPlannerA;20;20;10;18.0;4.0;235.0;3.6426666666666665
AIJFbTPlannerA;20;20;20;18.0;4.0;235.0;3.5406666666666666
AIJFbTPlannerA;20;20;30;18.0;4.0;235.0;3.512
AIJFbTPlannerA;20;40;10;14.0;8.0;183.0;8.697333333333335
AIJFbTPlannerA;20;40;20;14.0;8.0;183.0;8.531333333333334
AIJFbTPlannerA;20;40;30;14.0;8.0;183.0;8.713333333333335
AIJFbTPlannerA;20;60;10;11.0;11.0;140.0;21.719
AIJFbTPlannerA;20;60;20;11.0;11.0;142.66666666666666;23.198666666666668
AIJFbTPlannerA;20;60;30;11.0;11.0;140.0;20.372666666666667
AIJFbTPlannerA;20;80;10;11.0;11.0;140.0;20.187
AIJFbTPlannerA;20;80;20;11.0;11.0;140.0;20.831
AIJFbTPlannerA;20;80;30;11.0;11.0;142.66666666666666;20.28933333333333
AIJFbTPlannerA;20;100;10;11.0;11.0;140.0;20.906
AIJFbTPlannerA;20;100;20;11.0;11.0;142.66666666666666;20.64933333333333
AIJFbTPlannerA;20;100;30;11.0;11.0;142.66666666666666;20.541
AIJFbTPlannerA;25;20;10;23.0;4.0;304.0;6.746666666666667
AIJFbTPlannerA;25;20;20;23.0;4.0;304.0;6.669
AIJFbTPlannerA;25;20;30;23.0;4.0;304.0;6.702
AIJFbTPlannerA;25;40;10;18.0;9.0;235.0;18.867
AIJFbTPlannerA;25;40;20;18.0;9.0;235.0;26.371666666666666
AIJFbTPlannerA;25;40;30;18.0;9.0;235.0;26.24
