Horizon;Uncertainty;Windows;Instruments;Planning Goals;Planning Attempts;Planning Time (secs);Execution Attempts;Execution Time (secs);Exogenous Events;Contingency Handling Time (secs);Goal Status
300;10;1;1;1;2;0;2;212;1;0;FINISHED
300;10;1;1;2;1;0;1;303;0;0;FINISHED
300;10;1;1;3;1;0;1;304;0;0;FINISHED
300;10;1;1;4;1;0;1;304;0;0;FINISHED
300;10;1;1;5;1;0;1;304;0;0;FINISHED
300;10;1;2;1;2;25;2;214;1;25;FINISHED
300;10;1;2;2;1;0;1;306;0;0;FINISHED
300;10;1;2;3;1;0;1;306;0;0;FINISHED
300;10;1;2;4;2;60;1;115;1;60;ABORTED
300;10;1;2;5;2;60;1;95;1;60;ABORTED
300;10;1;3;1;1;0;1;305;0;0;FINISHED
300;10;1;3;2;2;66;1;110;1;61;ABORTED
300;10;1;3;3;2;68;1;130;1;62;ABORTED
300;10;1;3;4;1;5;1;320;0;0;FINISHED
300;10;1;3;5;2;66;1;108;1;61;ABORTED
300;10;2;1;1;1;0;1;304;0;0;FINISHED
300;10;2;1;2;1;0;1;304;0;0;FINISHED
300;10;2;1;3;1;0;1;304;0;0;FINISHED
300;10;2;1;4;1;0;1;304;0;0;FINISHED
300;10;2;1;5;1;0;1;304;0;0;FINISHED
300;10;2;2;1;1;0;1;305;0;0;FINISHED
300;10;2;2;2;2;61;1;98;1;60;ABORTED
300;10;2;2;3;1;1;1;306;0;0;FINISHED
300;10;2;2;4;1;1;1;306;0;0;FINISHED
300;10;2;2;5;2;61;1;96;1;60;ABORTED
300;10;2;3;1;2;60;1;93;1;60;ABORTED
300;10;2;3;2;2;69;1;109;1;61;ABORTED
300;10;2;3;3;2;74;1;138;1;66;ABORTED
300;10;2;3;4;1;7;1;322;0;0;FINISHED
300;10;2;3;5;1;7;1;322;0;0;FINISHED
300;10;3;1;1;1;0;1;304;0;0;FINISHED
300;10;3;1;2;1;0;1;304;0;0;FINISHED
300;10;3;1;3;1;0;1;304;0;0;FINISHED
300;10;3;1;4;1;0;1;304;0;0;FINISHED
300;10;3;1;5;1;0;1;304;0;0;FINISHED
300;10;3;2;1;2;23;2;214;1;23;FINISHED
300;10;3;2;2;1;1;1;307;0;0;FINISHED
300;10;3;2;3;1;1;1;306;0;0;FINISHED
300;10;3;2;4;2;61;1;95;1;60;ABORTED
300;10;3;2;5;1;1;1;307;0;0;FINISHED
300;10;3;3;1;1;0;1;305;0;0;FINISHED
300;10;3;3;2;2;69;1;109;1;61;ABORTED
300;10;3;3;3;2;76;1;126;1;67;ABORTED
300;10;3;3;4;2;76;1;124;1;67;ABORTED
300;10;3;3;5;2;70;1;110;1;61;ABORTED
300;20;1;1;1;1;0;1;304;0;0;FINISHED
300;20;1;1;2;1;0;1;304;0;0;FINISHED
300;20;1;1;3;1;0;1;304;0;0;FINISHED
300;20;1;1;4;1;0;1;304;0;0;FINISHED
300;20;1;1;5;1;0;1;304;0;0;FINISHED
300;20;1;2;1;2;23;2;214;1;23;FINISHED
300;20;1;2;2;1;0;1;306;0;0;FINISHED
300;20;1;2;3;1;0;1;306;0;0;FINISHED
300;20;1;2;4;2;60;1;125;1;60;ABORTED
300;20;1;2;5;1;0;1;306;0;0;FINISHED
300;20;1;3;1;1;0;1;305;0;0;FINISHED
300;20;1;3;2;1;5;1;320;0;0;FINISHED
300;20;1;3;3;1;5;1;320;0;0;FINISHED
300;20;1;3;4;2;72;1;132;1;67;ABORTED
300;20;1;3;5;1;5;1;320;0;0;FINISHED
300;20;2;1;1;1;0;1;304;0;0;FINISHED
300;20;2;1;2;1;0;1;304;0;0;FINISHED
300;20;2;1;3;1;0;1;304;0;0;FINISHED
300;20;2;1;4;1;0;1;304;0;0;FINISHED
300;20;2;1;5;1;0;1;304;0;0;FINISHED
300;20;2;2;1;1;0;1;305;0;0;FINISHED
300;20;2;2;2;1;1;1;306;0;0;FINISHED
300;20;2;2;3;1;1;1;306;0;0;FINISHED
300;20;2;2;4;1;1;1;306;0;0;FINISHED
300;20;2;2;5;2;61;1;97;1;60;ABORTED
300;20;2;3;1;1;0;1;305;0;0;FINISHED
300;20;2;3;2;1;7;1;322;0;0;FINISHED
300;20;2;3;3;1;7;1;320;0;0;FINISHED
300;20;2;3;4;2;69;1;133;1;61;ABORTED
300;20;2;3;5;2;69;1;156;1;61;ABORTED
300;20;3;1;1;1;0;1;303;0;0;FINISHED
300;20;3;1;2;1;0;1;303;0;0;FINISHED
300;20;3;1;3;1;0;1;302;0;0;FINISHED
300;20;3;1;4;1;0;1;304;0;0;FINISHED
300;20;3;1;5;1;0;1;304;0;0;FINISHED
300;20;3;2;1;1;0;1;304;0;0;FINISHED
300;20;3;2;2;1;1;1;307;0;0;FINISHED
300;20;3;2;3;1;1;1;305;0;0;FINISHED
300;20;3;2;4;1;1;1;306;0;0;FINISHED
300;20;3;2;5;1;1;1;306;0;0;FINISHED
300;20;3;3;1;1;0;1;305;0;0;FINISHED
300;20;3;3;2;2;74;1;112;1;65;ABORTED
300;20;3;3;3;2;69;1;146;1;60;ABORTED
300;20;3;3;4;2;76;1;148;1;67;ABORTED
300;20;3;3;5;2;71;1;147;1;62;ABORTED
300;30;1;1;1;1;0;1;303;0;0;FINISHED
300;30;1;1;2;1;0;1;304;0;0;FINISHED
300;30;1;1;3;1;0;1;304;0;0;FINISHED
300;30;1;1;4;1;0;1;303;0;0;FINISHED
300;30;1;1;5;1;0;1;303;0;0;FINISHED
300;30;1;2;1;1;0;1;304;0;0;FINISHED
300;30;1;2;2;2;60;1;129;1;60;ABORTED
300;30;1;2;3;1;0;1;306;0;0;FINISHED
300;30;1;2;4;1;0;1;306;0;0;FINISHED
300;30;1;2;5;1;0;1;306;0;0;FINISHED
300;30;1;3;1;1;0;1;304;0;0;FINISHED
300;30;1;3;2;1;5;1;320;0;0;FINISHED
300;30;1;3;3;1;5;1;320;0;0;FINISHED
300;30;1;3;4;2;73;1;126;1;67;ABORTED
300;30;1;3;5;1;5;1;320;0;0;FINISHED
300;30;2;1;1;1;0;1;304;0;0;FINISHED
300;30;2;1;2;1;0;1;304;0;0;FINISHED
300;30;2;1;3;1;0;1;303;0;0;FINISHED
300;30;2;1;4;1;0;1;301;0;0;FINISHED
300;30;2;1;5;1;0;1;301;0;0;FINISHED
300;30;2;2;1;1;0;1;302;0;0;FINISHED
300;30;2;2;2;2;61;1;95;1;60;ABORTED
300;30;2;2;3;2;61;1;161;1;60;ABORTED
300;30;2;2;4;1;1;1;304;0;0;FINISHED
300;30;2;2;5;2;61;1;148;1;60;ABORTED
300;30;2;3;1;1;0;1;303;0;0;FINISHED
300;30;2;3;2;2;68;1;153;1;60;ABORTED
300;30;2;3;3;2;68;1;121;1;60;ABORTED
300;30;2;3;4;2;68;1;121;1;61;ABORTED
