H;U;W;I;G;time (secs)
100;10;1;1;1;209
100;10;1;1;2;594
100;10;1;1;3;1473
100;10;1;1;4;no-pseudo-plan
100;10;1;1;5;no-pseudo-plan
100;10;1;2;1;128
100;10;1;2;2;660
100;10;1;2;3;no-pseudo-plan
100;10;1;2;4;no-pseudo-plan
100;10;1;2;5;no-pseudo-plan
100;10;1;3;1;178
100;10;1;3;2;no-pseudo-plan
100;10;1;3;3;no-pseudo-plan
100;10;1;3;4;no-pseudo-plan
100;10;1;3;5;no-pseudo-plan
100;10;2;1;1;79
100;10;2;1;2;322
100;10;2;1;3;no-pseudo-plan
100;10;2;1;4;no-pseudo-plan
100;10;2;1;5;no-pseudo-plan
100;10;2;2;1;no-pseudo-plan
100;10;2;2;2;no-pseudo-plan
100;10;2;2;3;no-pseudo-plan
100;10;2;2;4;no-pseudo-plan
100;10;2;2;5;no-pseudo-plan
100;10;2;3;1;no-pseudo-plan
100;10;2;3;2;no-pseudo-plan
100;10;2;3;3;no-pseudo-plan
100;10;2;3;4;no-pseudo-plan
100;10;2;3;5;no-pseudo-plan
100;10;3;1;1;149
100;10;3;1;2;no-pseudo-plan
100;10;3;1;3;no-pseudo-plan
100;10;3;1;4;no-pseudo-plan
100;10;3;1;5;no-pseudo-plan
100;10;3;2;1;no-pseudo-plan
100;10;3;2;2;no-pseudo-plan
100;10;3;2;3;no-pseudo-plan
100;10;3;2;4;no-pseudo-plan
100;10;3;2;5;no-pseudo-plan
