H;U;W;I;G;time (msecs)
100;10;1;1;1;208
100;10;1;1;2;362
100;10;1;1;3;1033
100;10;1;1;4;no-pseudo-plan
100;10;1;1;5;no-pseudo-plan
100;10;1;2;1;154
100;10;1;2;2;785
100;10;1;2;3;no-pseudo-plan
100;10;1;2;4;no-pseudo-plan
100;10;1;2;5;no-pseudo-plan
100;10;1;3;1;240
100;10;1;3;2;no-pseudo-plan
100;10;1;3;3;no-pseudo-plan
100;10;1;3;4;no-pseudo-plan
100;10;1;3;5;no-pseudo-plan
100;10;2;1;1;99
100;10;2;1;2;439
100;10;2;1;3;no-pseudo-plan
100;10;2;1;4;no-pseudo-plan
100;10;2;1;5;no-pseudo-plan
100;10;2;2;1;240
100;10;2;2;2;1062
100;10;2;2;3;no-pseudo-plan
100;10;2;2;4;no-pseudo-plan
100;10;2;2;5;no-pseudo-plan
100;10;2;3;1;376
100;10;2;3;2;no-pseudo-plan
100;10;2;3;3;no-pseudo-plan
100;10;2;3;4;no-pseudo-plan
100;10;2;3;5;no-pseudo-plan
100;10;3;1;1;160
100;10;3;1;2;no-pseudo-plan
100;10;3;1;3;no-pseudo-plan
100;10;3;1;4;no-pseudo-plan
100;10;3;1;5;no-pseudo-plan
100;10;3;2;1;355
100;10;3;2;2;no-pseudo-plan
100;10;3;2;3;no-pseudo-plan
100;10;3;2;4;no-pseudo-plan
100;10;3;2;5;no-pseudo-plan
100;10;3;3;1;497
100;10;3;3;2;no-pseudo-plan
100;10;3;3;3;no-pseudo-plan
100;10;3;3;4;no-pseudo-plan
100;10;3;3;5;no-pseudo-plan
100;20;1;1;1;58
100;20;1;1;2;286
100;20;1;1;3;873
100;20;1;1;4;no-pseudo-plan
100;20;1;1;5;no-pseudo-plan
100;20;1;2;1;141
100;20;1;2;2;802
100;20;1;2;3;no-pseudo-plan
100;20;1;2;4;no-pseudo-plan
100;20;1;2;5;no-pseudo-plan
100;20;1;3;1;271
100;20;1;3;2;no-pseudo-plan
100;20;1;3;3;no-pseudo-plan
100;20;1;3;4;no-pseudo-plan
100;20;1;3;5;no-pseudo-plan
100;20;2;1;1;101
