horizon;#comm;#sun;#science;time;makespan;
complete;1;1;1;256.0;11.0;
complete;1;1;1;264.0;11.0;
complete;1;1;1;269.0;11.0;
complete;1;1;2;1564.0;26.0;
complete;1;1;2;1615.0;26.0;
complete;1;1;2;1717.0;26.0;
complete;1;1;3;5045.0;35.0;
complete;1;1;3;7679.0;35.0;
complete;1;2;1;372.0;11.0;
complete;1;2;1;372.0;11.0;
complete;1;2;1;382.0;11.0;
complete;1;2;2;5088.0;310.0;
complete;1;2;2;4225.0;310.0;
complete;1;2;2;3894.0;310.0;
complete;1;2;3;10790.0;319.0;
complete;1;2;3;13919.0;330.0;
complete;1;3;1;414.0;11.0;
complete;1;3;1;409.0;11.0;
complete;1;3;1;414.0;11.0;
complete;1;3;2;3805.0;360.0;
complete;1;3;2;3770.0;360.0;
complete;1;3;2;3438.0;360.0;
complete;1;3;3;8192.0;369.0;
complete;1;3;3;10705.0;369.0;
complete;2;1;1;381.0;265.0;
complete;2;1;1;469.0;265.0;
complete;2;1;1;395.0;265.0;
complete;2;1;2;4799.0;276.0;
complete;2;1;2;4480.0;276.0;
complete;2;1;2;4427.0;276.0;
complete;2;1;3;13952.0;300.0;
complete;2;1;3;6317.0;285.0;
complete;2;1;3;14940.0;300.0;
complete;2;2;1;449.0;265.0;
complete;2;2;1;487.0;265.0;
complete;2;2;1;491.0;265.0;
complete;2;2;2;4535.0;310.0;
complete;2;2;2;3798.0;310.0;
complete;2;2;2;3766.0;310.0;
complete;2;2;3;8037.0;319.0;
complete;2;3;1;490.0;265.0;
complete;2;3;1;497.0;265.0;
complete;2;3;1;496.0;265.0;
complete;2;3;2;6079.0;360.0;
complete;2;3;2;5996.0;360.0;
complete;2;3;2;4573.0;360.0;
complete;3;1;1;417.0;315.0;
complete;3;1;1;383.0;315.0;
complete;3;1;1;373.0;315.0;
complete;3;1;2;2825.0;326.0;
complete;3;1;2;3754.0;326.0;
complete;3;1;2;2694.0;326.0;
complete;3;1;3;8651.0;335.0;
complete;3;1;3;7826.0;326.0;
complete;3;2;1;483.0;315.0;
complete;3;2;1;488.0;315.0;
complete;3;2;1;531.0;315.0;
complete;3;2;2;4713.0;330.0;
complete;3;2;2;4207.0;326.0;
complete;3;2;2;5718.0;326.0;
complete;3;2;3;9873.0;339.0;
complete;3;2;3;10012.0;335.0;
complete;3;2;3;10247.0;335.0;
complete;3;3;1;565.0;315.0;
complete;3;3;1;552.0;315.0;
complete;3;3;1;557.0;315.0;
complete;3;3;2;4687.0;360.0;
complete;3;3;2;3366.0;360.0;
complete;3;3;2;4738.0;360.0;
complete;3;3;3;12705.0;369.0;
complete;3;3;3;9941.0;369.0;
