horizon;#comm;#sun;#science;time;makespan;
discrete;1;1;1;200.0;11.0;
discrete;1;1;1;197.0;11.0;
discrete;1;1;1;192.0;11.0;
discrete;1;1;2;427.0;15.0;
discrete;1;1;2;435.0;15.0;
discrete;1;1;2;448.0;15.0;
discrete;1;1;3;890.0;19.0;
discrete;1;1;3;1387.0;25.0;
discrete;1;1;3;873.0;19.0;
discrete;1;2;1;300.0;11.0;
discrete;1;2;1;276.0;11.0;
discrete;1;2;1;284.0;11.0;
discrete;1;2;2;721.0;15.0;
discrete;1;2;2;763.0;15.0;
discrete;1;2;2;1221.0;21.0;
discrete;1;2;3;1596.0;25.0;
discrete;1;2;3;1981.0;25.0;
discrete;1;2;3;1925.0;25.0;
discrete;1;3;1;294.0;11.0;
discrete;1;3;1;287.0;11.0;
discrete;1;3;1;287.0;11.0;
discrete;1;3;2;679.0;15.0;
discrete;1;3;2;657.0;15.0;
discrete;1;3;2;827.0;15.0;
discrete;1;3;3;3310.0;31.0;
discrete;1;3;3;1470.0;19.0;
discrete;1;3;3;1763.0;25.0;
discrete;2;1;1;274.0;265.0;
discrete;2;1;1;276.0;265.0;
discrete;2;1;1;288.0;265.0;
discrete;2;1;2;630.0;265.0;
discrete;2;1;2;730.0;265.0;
discrete;2;1;2;624.0;265.0;
discrete;2;1;3;1948.0;279.0;
discrete;2;1;3;1891.0;279.0;
discrete;2;1;3;2122.0;275.0;
discrete;2;2;1;382.0;265.0;
discrete;2;2;1;367.0;265.0;
discrete;2;2;1;378.0;265.0;
discrete;2;2;2;835.0;265.0;
discrete;2;2;2;868.0;265.0;
discrete;2;2;2;879.0;265.0;
discrete;2;2;3;1842.0;265.0;
discrete;2;2;3;2478.0;275.0;
discrete;2;2;3;2781.0;275.0;
discrete;2;3;1;398.0;265.0;
discrete;2;3;1;389.0;265.0;
discrete;2;3;1;381.0;265.0;
discrete;2;3;2;861.0;265.0;
discrete;2;3;2;871.0;265.0;
discrete;2;3;2;959.0;265.0;
discrete;2;3;3;2383.0;265.0;
discrete;2;3;3;2656.0;275.0;
discrete;2;3;3;1547.0;265.0;
discrete;3;1;1;298.0;315.0;
discrete;3;1;1;310.0;315.0;
discrete;3;1;1;333.0;315.0;
discrete;3;1;2;711.0;315.0;
discrete;3;1;2;712.0;315.0;
discrete;3;1;2;718.0;315.0;
discrete;3;1;3;1674.0;329.0;
discrete;3;1;3;1328.0;315.0;
discrete;3;1;3;1333.0;315.0;
discrete;3;2;1;412.0;315.0;
discrete;3;2;1;404.0;315.0;
discrete;3;2;1;414.0;315.0;
discrete;3;2;2;972.0;315.0;
discrete;3;2;2;902.0;315.0;
discrete;3;2;2;959.0;315.0;
discrete;3;2;3;2900.0;325.0;
discrete;3;2;3;2372.0;315.0;
discrete;3;2;3;1593.0;315.0;
discrete;3;3;1;456.0;315.0;
discrete;3;3;1;476.0;315.0;
discrete;3;3;1;475.0;315.0;
discrete;3;3;2;1202.0;315.0;
discrete;3;3;2;1829.0;325.0;
discrete;3;3;2;1834.0;325.0;
discrete;3;3;3;2385.0;315.0;
discrete;3;3;3;2371.0;315.0;
discrete;3;3;3;2362.0;315.0;
