horizon;#comm;#sun;#science;time;makespan;
reservoir;1;1;1;181.0;11.0;
reservoir;1;1;1;180.0;11.0;
reservoir;1;1;1;180.0;11.0;
reservoir;1;1;2;1571.0;26.0;
reservoir;1;1;2;1231.0;26.0;
reservoir;1;1;2;1887.0;26.0;
reservoir;1;1;3;4649.0;35.0;
reservoir;1;2;1;240.0;11.0;
reservoir;1;2;1;244.0;11.0;
reservoir;1;2;1;244.0;11.0;
reservoir;1;2;2;2751.0;310.0;
reservoir;1;2;2;2644.0;310.0;
reservoir;1;2;2;2540.0;310.0;
reservoir;1;3;1;265.0;11.0;
reservoir;1;3;1;261.0;11.0;
reservoir;1;3;1;249.0;11.0;
reservoir;1;3;2;2875.0;360.0;
reservoir;1;3;2;1999.0;360.0;
reservoir;1;3;2;1911.0;360.0;
reservoir;1;3;3;4907.0;369.0;
reservoir;1;3;3;5042.0;369.0;
reservoir;1;3;3;4794.0;369.0;
reservoir;2;1;1;257.0;265.0;
reservoir;2;1;1;256.0;265.0;
reservoir;2;1;1;246.0;265.0;
reservoir;2;1;2;2105.0;276.0;
reservoir;2;1;2;3060.0;276.0;
reservoir;2;1;2;2766.0;276.0;
reservoir;2;1;3;6009.0;285.0;
reservoir;2;1;3;6457.0;276.0;
reservoir;2;1;3;4768.0;276.0;
reservoir;2;2;1;291.0;265.0;
reservoir;2;2;1;330.0;265.0;
reservoir;2;2;1;284.0;265.0;
reservoir;2;2;2;2702.0;310.0;
reservoir;2;2;2;2686.0;310.0;
reservoir;2;2;2;2744.0;310.0;
reservoir;2;2;3;6930.0;321.0;
reservoir;2;2;3;8065.0;330.0;
reservoir;2;3;1;343.0;265.0;
reservoir;2;3;1;323.0;265.0;
reservoir;2;3;1;331.0;265.0;
reservoir;2;3;2;3192.0;360.0;
reservoir;2;3;2;4376.0;360.0;
reservoir;2;3;2;3373.0;360.0;
reservoir;2;3;3;6916.0;371.0;
reservoir;2;3;3;6898.0;371.0;
reservoir;3;1;1;297.0;315.0;
reservoir;3;1;1;288.0;315.0;
reservoir;3;1;1;256.0;315.0;
reservoir;3;1;2;1256.0;330.0;
reservoir;3;1;2;1182.0;330.0;
reservoir;3;1;2;1565.0;330.0;
reservoir;3;1;3;6268.0;326.0;
reservoir;3;1;3;6632.0;346.0;
reservoir;3;2;1;344.0;315.0;
reservoir;3;2;1;333.0;315.0;
reservoir;3;2;1;341.0;315.0;
reservoir;3;2;2;4528.0;330.0;
reservoir;3;2;2;3408.0;330.0;
reservoir;3;2;2;4562.0;326.0;
reservoir;3;2;3;6143.0;335.0;
reservoir;3;3;1;364.0;315.0;
reservoir;3;3;1;368.0;315.0;
reservoir;3;3;1;386.0;315.0;
reservoir;3;3;2;3645.0;360.0;
reservoir;3;3;2;2423.0;360.0;
reservoir;3;3;2;2429.0;360.0;
reservoir;3;3;3;7562.0;369.0;
