horizon;#comm;#sun;#science;time;makespan;
simple;1;1;1;114.0;11.0;
simple;1;1;1;115.0;11.0;
simple;1;1;1;111.0;11.0;
simple;1;1;2;214.0;15.0;
simple;1;1;2;235.0;15.0;
simple;1;1;2;213.0;15.0;
simple;1;1;3;388.0;19.0;
simple;1;1;3;656.0;31.0;
simple;1;1;3;399.0;19.0;
simple;1;2;1;148.0;11.0;
simple;1;2;1;149.0;11.0;
simple;1;2;1;147.0;11.0;
simple;1;2;2;319.0;15.0;
simple;1;2;2;293.0;15.0;
simple;1;2;2;336.0;15.0;
simple;1;2;3;515.0;19.0;
simple;1;2;3;497.0;19.0;
simple;1;2;3;640.0;25.0;
simple;1;3;1;168.0;11.0;
simple;1;3;1;171.0;11.0;
simple;1;3;1;176.0;11.0;
simple;1;3;2;343.0;15.0;
simple;1;3;2;309.0;15.0;
simple;1;3;2;337.0;15.0;
simple;1;3;3;631.0;19.0;
simple;1;3;3;582.0;19.0;
simple;1;3;3;598.0;19.0;
simple;2;1;1;150.0;265.0;
simple;2;1;1;151.0;265.0;
simple;2;1;1;148.0;265.0;
simple;2;1;2;304.0;265.0;
simple;2;1;2;332.0;265.0;
simple;2;1;2;316.0;265.0;
simple;2;1;3;514.0;265.0;
simple;2;1;3;675.0;279.0;
simple;2;1;3;681.0;275.0;
simple;2;2;1;214.0;265.0;
simple;2;2;1;194.0;265.0;
simple;2;2;1;208.0;265.0;
simple;2;2;2;512.0;265.0;
simple;2;2;2;522.0;275.0;
simple;2;2;2;525.0;275.0;
simple;2;2;3;705.0;265.0;
simple;2;2;3;690.0;265.0;
simple;2;2;3;639.0;265.0;
simple;2;3;1;209.0;265.0;
simple;2;3;1;212.0;265.0;
simple;2;3;1;210.0;265.0;
simple;2;3;2;412.0;265.0;
simple;2;3;2;448.0;265.0;
simple;2;3;2;400.0;265.0;
simple;2;3;3;757.0;265.0;
simple;2;3;3;995.0;275.0;
simple;2;3;3;540.0;265.0;
simple;3;1;1;189.0;315.0;
simple;3;1;1;181.0;315.0;
simple;3;1;1;184.0;315.0;
simple;3;1;2;359.0;315.0;
simple;3;1;2;376.0;315.0;
simple;3;1;2;320.0;315.0;
simple;3;1;3;625.0;315.0;
simple;3;1;3;636.0;315.0;
simple;3;1;3;615.0;315.0;
simple;3;2;1;228.0;315.0;
simple;3;2;1;221.0;315.0;
simple;3;2;1;227.0;315.0;
simple;3;2;2;456.0;315.0;
simple;3;2;2;444.0;315.0;
simple;3;2;2;454.0;315.0;
simple;3;2;3;669.0;315.0;
simple;3;2;3;789.0;315.0;
simple;3;2;3;778.0;315.0;
simple;3;3;1;259.0;315.0;
simple;3;3;1;255.0;315.0;
simple;3;3;1;316.0;315.0;
simple;3;3;2;510.0;315.0;
simple;3;3;2;501.0;315.0;
simple;3;3;2;734.0;325.0;
simple;3;3;3;910.0;315.0;
simple;3;3;3;1665.0;335.0;
simple;3;3;3;917.0;315.0;
